block,Total Employment
130890208021011,3
130890208022000,2
130890208022001,2
130890208022003,1
130890208022007,41
130890208022009,1
130890208022010,9
130890208022011,1
130890208022012,128
130890208022013,4
130890208022014,5
130890208022016,1
130890208022019,60
130890208022021,7
130890208022022,25
130890208022024,23
130890208022025,170
130890208023000,8
130890208023002,2
130890208023005,1
130890208023006,1
130890208023007,2
130890208023009,19
130890208023010,1
130890208024000,28
130890208024001,20
130890208024002,1
130890208024006,2
130890208024007,14
130890208024009,23
130890208024010,1
130890208024011,23
130890208024012,5
130890208024013,5
130890208024015,7
130890208024018,4
130890208024023,2
130890208024027,1
130890209001001,252
130890209001002,3
130890209001003,52
130890209001004,22
130890209001005,2
130890209001006,1
130890209001014,4
130890209001015,2
130890209001017,40
130890209001023,1
130890209001024,5
130890209001025,9
130890209001027,3
130890209001028,16
130890209001029,4
130890209001030,22
130890209001031,35
130890209001032,14
130890209001033,113
130890209001038,171
130890209001039,271
130890209002000,7
130890209002001,29
130890209002002,35
130890209002003,51
130890209002005,23
130890209002008,32
130890209002010,55
130890209002012,2
130890209002013,2
130890209002016,11
130890209002018,5
130890209002019,18
130890209002021,2
130890209002031,5
130890209002034,13
130890209002035,156
130890209003000,17
130890209003009,1
130890209003011,14
130890209003013,1
130890209004000,4
130890209004001,47
130890209004007,1
130890209004016,2
130890209004019,1
130890209004020,4
130890209004022,1
130890209004024,16
130890209004025,126
130890209004026,3
130890209004029,12
130890209004030,7
130890211011002,82
130890211011003,3
130890211011004,2
130890211011005,7
130890211011006,2
130890211011007,6
130890211011008,2
130890211011010,1
130890211011011,6
130890211011012,1
130890211011013,13
130890211011015,6
130890211011020,10
130890211011021,2
130890211011022,1
130890211011023,1
130890211011024,2
130890211011025,10
130890211011026,3
130890211011027,7
130890211011028,53
130890211011029,4
130890211011030,3
130890211021002,386
130890211021003,419
130890211021005,51
130890211021006,196
130890211022001,403
130890211022004,3
130890211022005,2
130890211022006,36
130890211022008,1
130890211022011,3
130890211022013,138
130890211022014,5
130890211022015,10
130890211022017,1
130890211022020,2
130890211023000,63
130890211023001,1
130890211023003,2
130890211023004,426
130890211024000,298
130890211024001,8
130890211024003,9
130890211024004,7
130890211024005,3
130890211024006,1
130890211024008,294
130890211024012,8
130890211024015,308
130890211024016,48
130890211024017,110
130890211024018,24
130890211024019,8
130890212021003,257
130890212021005,173
130890212021006,1
130890212021007,8
130890212021009,14
130890212021013,9
130890212021015,2
130890212021017,4
130890212021018,5
130890212021020,8
130890212021021,7
130890212021023,2
130890212021025,1
130890212021026,1
130890212021027,11
130890212021029,20
130890212021030,8
130890212022003,2
130890212022004,5
130890212022005,333
130890212022009,9
130890212022010,15
130890212022012,44
130890212022013,3
130890212022015,1
130890212022016,21
130890212022017,2
130890212022018,60
130890212022020,3
130890212022022,40
130890212022024,651
130890212023001,4
130890212023002,1507
130890212023003,64
130890212023004,3
130890212023005,18
130890212023006,1
130890212023008,4327
130890212023009,3202
130890212023011,12
130890212023014,1
130890212023016,228
130890212023017,1
130890212041000,585
130890212041005,113
130890212042002,324
130890212042003,349
130890212042005,222
130890212042006,976
130890212043000,493
130890212043002,22
130890212043010,23
130890212043011,390
130890212043012,40
130890212043013,3192
130890212043014,36
130890212043015,353
130890212043016,144
130890212043017,372
130890212043018,42
130890212043019,7
130890212043020,20
130890212043021,17
130890212043022,37
130890212081000,198
130890212081002,4
130890212081005,2
130890212081008,2
130890212081014,20
130890212081016,73
130890212081017,7
130890212081018,744
130890212081019,500
130890212081021,127
130890212081023,2
130890212081025,355
130890212081026,428
130890212081027,30
130890212081028,15
130890212081029,22
130890212081030,328
130890212081031,84
130890212081032,1
130890212081033,54
130890212081034,311
130890212081035,269
130890212081036,635
130890212081037,126
130890212081038,441
130890212081039,202
130890212081040,99
130890212081041,122
130890212081042,106
130890212082000,8
130890212082003,2
130890212082007,5
130890212082008,1
130890212082013,76
130890212082015,39
130890212091001,20
130890212091003,449
130890212091005,90
130890212091007,107
130890212091009,17
130890212091010,27
130890212091011,22
130890212091012,17
130890212092000,466
130890212092006,70
130890212092008,2
130890212093000,2
130890212093001,2
130890212093002,8
130890212093004,3
130890212093005,9
130890212093006,13
130890212093008,81
130890212093009,2
130890212093010,202
130890212093012,284
130890212093014,157
130890212093015,268
130890212094000,4
130890212094002,3
130890212094003,19
130890212094005,3
130890212094007,1
130890212101000,2
130890212101004,12
130890212101005,1
130890212101007,17
130890212101008,28
130890212101009,1
130890212101011,414
130890212101013,2
130890212101015,48
130890212101016,2
130890212101018,24
130890212101019,2
130890212101021,13
130890212101024,6
130890212102000,4
130890212102003,45
130890212102004,55
130890212102006,4
130890212103002,13
130890212103003,1
130890212103005,29
130890212103006,10
130890212103007,723
130890212103009,1
130890212103010,3
130890212103011,78
130890212103012,10
130890212103013,2
130890212103014,754
130890212103015,66
130890212111000,6
130890212111001,27
130890212111005,17
130890212111006,7
130890212111007,3
130890212112000,7
130890212112006,2
130890212112009,1
130890212112010,259
130890212112012,2
130890212112014,2
130890212112015,1
130890212112016,83
130890212112017,7
130890212113000,13
130890212113001,12
130890212113002,18
130890212113004,21
130890212113011,1
130890212113012,1
130890212113014,1
130890212113015,32
130890212113016,12
130890212131000,3
130890212131001,2
130890212131002,18
130890212131007,3
130890212131009,11
130890212131012,1
130890212131013,73
130890212131014,26
130890212131017,1
130890212132000,667
130890212132002,4
130890212132005,2
130890212132006,5
130890212132010,2
130890212132011,2
130890212132012,3
130890212132015,1
130890212132021,7
130890212132025,31
130890212141000,11
130890212141001,1
130890212141003,9
130890212141005,11
130890212141006,5
130890212141008,504
130890212141009,1
130890212141010,415
130890212142000,445
130890212142001,217
130890212142004,1
130890212142005,4
130890212142006,3
130890212142007,2
130890212142009,18
130890212142010,177
130890212142011,1
130890212142012,43
130890212143000,8
130890212143001,2
130890212143005,1
130890212143006,8
130890212143007,6
130890212143008,5
130890212143009,3
130890212143011,4
130890212143015,2
130890212143017,1
130890212151000,181
130890212151001,8
130890212151002,388
130890212151005,24
130890212151006,1278
130890212151008,19
130890212151009,6
130890212151010,33
130890212151011,3397
130890212151014,1108
130890212151015,693
130890212151016,2520
130890212151017,128
130890212151018,53
130890212151019,1166
130890212151021,4386
130890212151022,336
130890212151023,428
130890212151024,783
130890212151029,2700
130890212151030,22
130890212152000,110
130890212152001,998
130890212152002,84
130890212152003,3
130890212152004,24
130890212161000,33
130890212161001,3
130890212161003,46
130890212161008,18
130890212161009,51
130890212162000,294
130890212162002,710
130890212162003,4
130890212162005,5
130890212162006,2
130890212162007,8
130890212162008,582
